Category,Setting/Rule,Repo Type: Mobile Apps,Repo Type: Web Apps,Repo Type: Internal Tools,Repo Type: Shared Libraries,Repo Type: Infrastructure,Description/Notes,Priority,SRE Notes
Repository Basics,Repository Visibility,Private,Private,Internal,Internal/Private,Private,Who can see the repo,High,
Repository Basics,Wiki Enabled,FALSE,FALSE,TRUE,TRUE,FALSE,Enable repository wiki,Low,
Repository Basics,Issues Enabled,TRUE,TRUE,TRUE,TRUE,FALSE,Enable GitHub Issues,High,
Repository Basics,Projects Enabled,TRUE,TRUE,FALSE,FALSE,FALSE,Enable GitHub Projects,Medium,
Repository Basics,Discussions Enabled,FALSE,TRUE,TRUE,FALSE,FALSE,Enable GitHub Discussions,Low,
Repository Basics,Allow Forking,FALSE,FALSE,TRUE,TRUE,FALSE,Allow users to fork the repo,Medium,
Repository Basics,Allow Merge Commits,FALSE,FALSE,TRUE,TRUE,FALSE,Allow merge commits in PRs,Medium,
Repository Basics,Allow Squash Merging,TRUE,TRUE,TRUE,TRUE,TRUE,Allow squash merging (default),High,
Repository Basics,Allow Rebase Merging,FALSE,TRUE,TRUE,TRUE,FALSE,Allow rebase merging,Medium,
Repository Basics,Delete Branch on Merge,TRUE,TRUE,TRUE,TRUE,TRUE,Auto-delete head branches after merge,High,
Repository Basics,Default Branch,main,main,main,main,main,Default branch name,High,
Branch Protection,Branch Protection Enabled,TRUE,TRUE,TRUE,TRUE,TRUE,Enable branch protection rules,High,
Branch Protection,Require PR Reviews,TRUE,TRUE,TRUE,TRUE,TRUE,Require pull request reviews,High,
Branch Protection,Required Reviewers Count,2,2,1,2,2,Min number of approving reviews,High,
Branch Protection,Dismiss Stale Reviews,TRUE,TRUE,TRUE,TRUE,TRUE,Dismiss reviews when new commits are pushed,Medium,
Branch Protection,Require Code Owner Review,TRUE,TRUE,FALSE,TRUE,FALSE,Require review from CODEOWNERS,High,
Branch Protection,Require Status Checks,TRUE,TRUE,TRUE,TRUE,TRUE,Require status checks to pass,High,
Branch Protection,Require Up-to-Date Branches,TRUE,TRUE,FALSE,TRUE,TRUE,Require branches to be up to date before merging,High,
Branch Protection,Require Linear History,FALSE,FALSE,TRUE,TRUE,FALSE,Prevent merge commits on protected branch,Medium,
Branch Protection,Include Administrators,TRUE,TRUE,FALSE,TRUE,TRUE,Enforce rules for administrators,High,
Branch Protection,Allow Force Pushes,FALSE,FALSE,FALSE,FALSE,FALSE,Allow force pushes to protected branch,High,
Branch Protection,Allow Deletions,FALSE,FALSE,FALSE,FALSE,FALSE,Allow deletions of protected branch,High,
Branch Protection,Require Signed Commits,FALSE,FALSE,FALSE,TRUE,FALSE,Require signed commits on protected branch,Medium,
Branch Protection,Require Conversation Resolution,TRUE,TRUE,FALSE,TRUE,FALSE,Require all conversations to be resolved,Medium,
Branch Protection,Lock Branch,FALSE,FALSE,FALSE,FALSE,FALSE,Lock the branch (read-only),Low,
Access & Teams,Admin Team Access,Mobile-Leads,Web-Leads,Platform,Library-Maintainers,SRE,Teams with admin access,High,
Access & Teams,Maintain Team Access,Mobile-Devs,Web-Devs,Internal-Tools,Staff-Engineers,SRE,Teams with maintain access,High,
Access & Teams,Write Team Access,Mobile-Devs,Web-Devs,All-Engineers,All-Engineers,All-Engineers,Teams with write access,High,
Access & Teams,Triage Team Access,QA,QA,Support,Community,,Teams with triage access,Medium,
Access & Teams,Outside Collaborators,None,Designers,None,None,None,External collaborators,Medium,
Actions & CI,Actions Enabled,TRUE,TRUE,TRUE,TRUE,TRUE,Enable GitHub Actions,High,
Actions & CI,Allowed Actions,All,All,Local Only,Local Only,Local Only,Which actions are allowed,High,
Actions & CI,Require Approval for Fork PRs,TRUE,TRUE,TRUE,TRUE,TRUE,Require approval for fork PR workflows,High,
Actions & CI,Token Permissions - Default,Permissive,Permissive,Restricted,Restricted,Restricted,Default GITHUB_TOKEN permissions,High,
Actions & CI,Token Permissions - PR,Read-Only,Read-Only,Read-Only,Read-Only,Read-Only,PR token permissions,High,
Actions & CI,Artifact/Log Retention (days),30,30,14,14,90,How long to keep artifacts/logs,Medium,
Actions & CI,Required Workflow / Reusable,TRUE,TRUE,FALSE,FALSE,TRUE,Use required workflows or reusable workflows,Medium,
Actions & CI,Self-Hosted Runners,FALSE,FALSE,FALSE,FALSE,FALSE,Allow self-hosted runners,High,
